Score;Category
00;Bad
01;Bad
02;Bad
03;Bad
04;Bad
05;Bad
06;Bad
07;Bad
08;Bad
09;Bad
10;Very Low
11;Very Low
12;Very Low
13;Very Low
14;Very Low
15;Very Low
16;Very Low
17;Very Low
18;Very Low
19;Very Low
20;Very Low
21;Very Low
22;Very Low
23;Very Low
24;Very Low
25;Very Low
26;Very Low
27;Very Low
28;Very Low
29;Very Low
30;Low
31;Low
32;Low
33;Low
34;Low
35;Low
36;Low
37;Low
38;Low
39;Low
40;Low
41;Low
42;Low
43;Low
44;Low
45;Low
46;Low
47;Low
48;Low
49;Low
50;Medium
51;Medium
52;Medium
53;Medium
54;Medium
55;Medium
56;Medium
57;Medium
58;Medium
59;Medium
60;Good
61;Good
62;Good
63;Good
64;Good
65;Good
66;Good
67;Good
68;Good
69;Good
70;Good
71;Good
72;Good
73;Good
74;Good
75;High
76;High
77;High
78;High
79;High
80;High
81;High
82;High
83;High
84;High
85;High
86;High
87;High
88;High
89;High
90;Very High
91;Very High
92;Very High
93;Very High
94;Very High
95;Excelent
96;Excelent
97;Excelent
98;Excelent
99;Excelent
100;Excelent
