Year;Score;Title;Starring
1968;86;Greetings;Robert De Niro
1970;17;Bloody Mama;Robert De Niro
1970;73;Hi Mom!;Robert De Niro
1971;40;Born to Win;Robert De Niro
1973;98;Mean Streets;Robert De Niro
1973;88;Bang the Drum Slowly;Robert De Niro
1974;97;The Godfather Part II;Robert De Niro
1976;41;The Last Tycoon;Robert De Niro
1976;99;Taxi Driver;Robert De Niro
1977;67;New York New York;Robert De Niro
1978;93;The Deer Hunter;Robert De Niro
1980;97;Raging Bull;Robert De Niro
1981;75;True Confessions;Robert De Niro
1983;90;The King of Comedy;Robert De Niro
1984;89;Once Upon a Time in America;Robert De Niro
1984;60;Falling in Love;Robert De Niro
1985;98;Brazil;Robert De Niro
1986;65;The Mission;Robert De Niro
1987;100;Dear America: Letters Home From Vietnam;Robert De Niro
1987;80;The Untouchables;Robert De Niro
1987;78;Angel Heart;Robert De Niro
1988;96;Midnight Run;Robert De Niro
1989;64;Jacknife;Robert De Niro
1989;47;We're No Angels;Robert De Niro
1990;88;Awakenings;Robert De Niro
1990;29;Stanley & Iris;Robert De Niro
1990;96;Goodfellas;Robert De Niro
1991;76;Cape Fear;Robert De Niro
1991;69;Mistress;Robert De Niro
1991;65;Guilty by Suspicion;Robert De Niro
1991;71;Backdraft;Robert De Niro
1992;87;Thunderheart;Robert De Niro
1992;67;Night and the City;Robert De Niro
1993;75;This Boy's Life;Robert De Niro
1993;78;Mad Dog and Glory;Robert De Niro
1993;96;A Bronx Tale;Robert De Niro
1994;39;Mary Shelley's Frankenstein;Robert De Niro
1995;80;Casino;Robert De Niro
1995;86;Heat;Robert De Niro
1996;74;Sleepers;Robert De Niro
1996;38;The Fan;Robert De Niro
1996;80;Marvin's Room;Robert De Niro
1997;85;Wag the Dog;Robert De Niro
1997;87;Jackie Brown;Robert De Niro
1997;72;Cop Land;Robert De Niro
1998;68;Ronin;Robert De Niro
1998;38;Great Expectations;Robert De Niro
1999;69;Analyze This;Robert De Niro
1999;43;Flawless;Robert De Niro
2000;43;The Adventures of Rocky & Bullwinkle;Robert De Niro
2000;84;Meet the Parents;Robert De Niro
2000;41;Men of Honor;Robert De Niro
2001;73;The Score;Robert De Niro
2001;33;15 Minutes;Robert De Niro
2002;48;City by the Sea;Robert De Niro
2002;27;Analyze That;Robert De Niro
2003;4;Godsend;Robert De Niro
2004;35;Shark Tale;Robert De Niro
2004;38;Meet the Fockers;Robert De Niro
2005;4;The Bridge of San Luis Rey;Robert De Niro
2005;46;Rent;Robert De Niro
2005;13;Hide and Seek;Robert De Niro
2006;54;The Good Shepherd;Robert De Niro
2007;21;Arthur and the Invisibles;Robert De Niro
2007;76;Captain Shakespeare;Robert De Niro
2008;19;Righteous Kill;Robert De Niro
2008;51;What Just Happened?;Robert De Niro
2009;46;Everybody's Fine;Robert De Niro
2010;72;Machete;Robert De Niro
2010;10;Little Fockers;Robert De Niro
2010;50;Stone;Robert De Niro
2011;25;Killer Elite;Robert De Niro
2011;7;New Year's Eve;Robert De Niro
2011;70;Limitless;Robert De Niro
2012;92;Silver Linings Playbook;Robert De Niro
2012;51;Being Flynn;Robert De Niro
2012;29;Red Lights;Robert De Niro
2013;46;Last Vegas;Robert De Niro
2013;7;The Big Wedding;Robert De Niro
2013;29;Grudge Match;Robert De Niro
2013;11;Killing Season;Robert De Niro
2014;9;The Bag Man;Robert De Niro
2015;60;Joy;Robert De Niro
2015;26;Heist;Robert De Niro
2015;61;The Intern;Robert De Niro
2016;11;Dirty Grandpa;Robert De Niro
2007;84;Rocket Science;Anna Kendrick
2003;84;ELF;Will Ferrel
1997;85;ANASTASIA;Meg Ryan
1996;85;THE ENGLISH PATIENT
2011;86;X-MEN: FIRST CLASS;James McAvoy
1999;87;Presumed Innocent;Harrison Ford
1993;88;The Secret Garden;Kate Maberly
1999;88;Boys dont't cry;Hilary Swank
2003;88;Mistic River;Sean Penn
2013;88;Rush;Olivia Wilde
1947;89;AMARCORD;Bruno Zanin
1948;100;The Treasure of the Sierra Madre;Humphrey Bogart
1952;96;High Noon;Gary Cooper
